"C-V error, 5 folds",Training,lambdas
0.015569395,0.002328195,0.1
0.01324256,0.005455797,0.2
0.012177788,0.007513096,0.3
0.011883572,0.008469086,0.4
0.011733117,0.008843682,0.5
0.011674614,0.009093406,0.6
0.011646107,0.00925611,0.7
0.01162245,0.009358129,0.8
0.01161196,0.009411475,0.9
0.01160934,0.009449435,1
0.011609986,0.009490882,1.1
0.011610154,0.009535833,1.2
0.011612869,0.009572933,1.3
0.011617806,0.009605537,1.4
0.011626846,0.009620618,1.5
0.011637772,0.00963554,1.6
0.011651989,0.009649845,1.7
0.011667577,0.009663707,1.8
0.011684226,0.009678219,1.9
0.01170135,0.009693456,2
0.011718322,0.009709475,2.1
0.011734554,0.009726292,2.2
0.011749218,0.009743888,2.3
0.011763493,0.009762265,2.4
0.011778584,0.009781445,2.5
0.011794635,0.009801401,2.6
0.01181216,0.009822138,2.7
0.0118313,0.009843662,2.8
0.011850536,0.009863412,2.9
0.011870763,0.009879661,3
0.011891519,0.00989646,3.1
0.011913056,0.009913811,3.2
0.011935434,0.009931712,3.3
0.011957804,0.009950168,3.4
0.011980377,0.009969174,3.5
0.012003556,0.009988737,3.6
0.012027812,0.010008845,3.7
0.012052518,0.010029508,3.8
0.01207736,0.01005073,3.9
0.012103208,0.010072497,4
0.01212951,0.010094813,4.1
0.012157031,0.01011769,4.2
0.012184889,0.01014111,4.3
0.0122136,0.010165091,4.4
0.012243072,0.010189616,4.5
0.012273205,0.010214693,4.6
0.012303886,0.010240321,4.7
0.012334817,0.010266502,4.8
0.012366535,0.010293236,4.9
0.012397038,0.010320517,5
